id_partido,home_team,away_team,match_number,group_name,is_decisive,day_of_week_num,is_weekend,ELO_match_rating,ELO_diff,home_value,away_value,match_value_diff,match_hora_utc,ELO_match_rating_scaled,ELO_diff_scaled,match_value_scaled,match_value_diff_scaled,hora_utc_scaled,day_of_week_scaled,PC1_Disparidad_scaled,PC2_Calidad_scaled
1,Korea Republic,Czechia,2,A,0,4,0,3478,26,143.4,196.425,53.025000000000006,2,0.4844167408726627,0.0221354166666666,0.4695762387073663,0.4487765732566847,0.0869565217391304,0.6666666666666666,0.03520936364521865,0.3165660743125449
2,Mexico,South Africa,1,A,0,3,0,3382,334,85.6,52.7,32.89999999999999,19,0.3989314336598397,0.4231770833333333,0.2058171163858524,0.3707701224778478,0.8260869565217391,0.5,0.34810342335050826,0.23782652110184327
3,Czechia,South Africa,25,A,0,3,0,3250,202,196.425,52.7,143.72500000000002,16,0.2813891362422085,0.2513020833333333,0.3783661182236786,0.6137151976985116,0.6956521739130435,0.5,0.35170548651354994,0.2245660787232751
4,Mexico,Korea Republic,28,A,0,4,0,3610,106,85.6,143.4,57.80000000000001,1,0.601959038290294,0.1263020833333333,0.3536387955521836,0.4629531839443674,0.0434782608695652,0.6666666666666666,0.031607300482176914,0.3298265166911131
5,South Africa,Korea Republic,54,A,1,3,0,3276,228,52.7,143.4,90.7,1,0.3045414069456811,0.28515625,0.3081328089115036,0.5373355350076633,0.0434782608695652,0.5,0.3113229003097302,0.17349611843232166
6,Czechia,Mexico,53,A,1,3,0,3584,132,196.425,85.6,110.82500000000002,1,0.5788067675868209,0.16015625,0.4147944801017633,0.5705467301632341,0.0434782608695652,0.5,0.0021569507079360895,0.34554683347905546
7,Canada,Bosnia-Herzegovina,3,B,0,4,0,3378,190,222.45,140.4,82.04999999999998,19,0.3953695458593054,0.2356770833333333,0.4888473335328906,0.5207511687679974,0.8260869565217391,0.6666666666666666,0.1382940404817073,0.22321214840394593
8,Switzerland,Bosnia-Herzegovina,26,B,0,3,0,3483,295,317.6,140.4,177.20000000000002,19,0.4888691006233303,0.3723958333333333,0.5573292838245159,0.648543050457313,0.8260869565217391,0.5,0.23104175992385656,0.36702416495442935
9,Qatar,Switzerland,8,B,0,5,1,3314,464,20.475,317.6,297.125,19,0.3383793410507572,0.5924479166666666,0.468058716856659,0.7346801060538737,0.8260869565217391,0.8333333333333334,0.43152456446236775,0.3232110153957525
10,Canada,Qatar,27,B,0,3,0,3209,359,222.45,20.475,201.975,22,0.2448797862867322,0.4557291666666666,0.3709669215290851,0.670332528150571,0.9565217391304348,0.5,0.33877684502021843,0.179398998845269
11,Bosnia-Herzegovina,Qatar,52,B,1,2,0,3019,169,140.4,20.475,119.925,19,0.0756901157613536,0.2083333333333333,0.2500927892322062,0.5836421076439484,0.8260869565217391,0.3333333333333333,0.24520896799054542,0.0
12,Switzerland,Canada,51,B,1,2,0,3673,105,317.6,222.45,95.15000000000003,19,0.6580587711487089,0.125,0.6058106892230024,0.5452673933526188,0.8260869565217391,0.3333333333333333,0.0865486956653575,0.4097885113879316
13,Brazil,Morocco,7,C,0,5,1,3805,163,909.2,238.6,670.6,22,0.7756010685663401,0.2005208333333333,0.8277753129090037,0.8706213272204679,0.9565217391304348,0.8333333333333334,0.030680587017707206,0.7823551796511908
14,Scotland,Morocco,30,C,0,4,0,3588,54,207.825,238.6,30.77500000000001,22,0.5823686553873553,0.05859375,0.5497999991144169,0.3599344627029548,0.9565217391304348,0.6666666666666666,0.07306076059427269,0.5558409917164141
15,Haiti,Scotland,5,C,0,6,1,3299,235,55.875,207.825,151.95,1,0.3250222617987535,0.2942708333333333,0.3950618704008595,0.6229674822984316,0.0434782608695652,1.0,0.38831467390638946,0.26281818125083367
16,Brazil,Haiti,29,C,0,5,1,3516,452,909.2,55.875,853.325,1,0.5182546749777384,0.5768229166666666,0.7767085385067578,0.9109021663616896,0.0434782608695652,0.8333333333333334,0.6038504671350454,0.6310140432637488
17,Morocco,Haiti,50,C,1,2,0,3353,289,238.6,55.875,182.725,22,0.373107747105966,0.3645833333333333,0.427484842886078,0.653653890848361,0.9565217391304348,0.3333333333333333,0.4881092327800025,0.4413436049466792
18,Scotland,Brazil,49,C,1,2,0,3751,217,207.825,909.2,701.375,22,0.7275155832591276,0.2708333333333333,0.8197705635332986,0.8781209039745115,0.9565217391304348,0.3333333333333333,0.18880199494931565,0.7455114300334837
19,Australia,Turkey,6,D,0,6,1,3685,119,51.425,529.2,477.775,4,0.668744434550312,0.1432291666666666,0.6271281102090653,0.8139730745214,0.1739130434782608,1.0,0.427997973998567,0.42268864340545936
20,USA,Paraguay,4,D,0,5,1,3554,112,356.7,139.0,217.7,1,0.552092609082814,0.1341145833333333,0.5805987367216374,0.6828224327935442,0.0434782608695652,0.8333333333333334,0.08350769962078447,0.42331410157550087
21,Turkey,Paraguay,31,D,0,5,1,3735,69,529.2,139.0,390.2000000000001,4,0.7132680320569902,0.078125,0.6684743214224538,0.7801594546342417,0.1739130434782608,0.8333333333333334,0.13849891787151666,0.5126597551196054
22,USA,Australia,32,D,0,4,0,3504,62,356.7,51.425,305.275,19,0.5075690115761353,0.0690104166666666,0.5234198813504072,0.7391945509641898,0.8260869565217391,0.6666666666666666,0.3730067557478347,0.33334298986135474
23,Paraguay,Australia,60,D,1,4,0,3616,50,139.0,51.425,87.575,2,0.6073018699910953,0.0533854166666666,0.2995205164021386,0.5315318624273994,0.0869565217391304,0.6666666666666666,0.2907016941794278,0.18279955508852086
24,Turkey,USA,59,D,1,4,0,3623,181,529.2,356.7,172.50000000000006,2,0.6135351736420303,0.2239583333333333,0.7515013731800411,0.6440690479337384,0.0869565217391304,0.6666666666666666,0.010035385744456005,0.5514865736956194
25,Ecuador,Curaçao,34,E,0,6,1,3369,497,259.05,27.775,231.275,0,0.3873552983081034,0.6354166666666666,0.4197520683562363,0.6929025010628844,0.0,1.0,0.4541520839566876,0.21845788612931233
26,Germany,Curaçao,10,E,0,6,1,3359,487,1005.5,27.775,977.725,17,0.3784505788067678,0.6223958333333333,0.7968174114754774,0.933656232774783,0.7391304347826086,1.0,0.7280234456902178,0.7012028008116178
27,Ecuador,Germany,56,E,1,3,0,3856,10,259.05,1005.5,746.45,20,0.8210151380231525,0.0013020833333333,0.8563075947052139,0.8885322053300737,0.8695652173913043,0.5,0.2686179701001352,0.8196606228972496
28,Côte d'Ivoire,Ecuador,9,E,0,6,1,3609,257,516.9,259.05,257.85,23,0.6010685663401603,0.3229166666666666,0.7124842355115546,0.7110347015779976,1.0,1.0,0.09458146900524575,0.5001906969498265
29,Germany,Côte d'Ivoire,33,E,0,5,1,3599,247,1005.5,516.9,488.6,20,0.5921638468388246,0.3098958333333333,0.9109726029554126,0.8177154495505985,0.8695652173913043,0.8333333333333334,0.1246859189581914,0.8710945740181797
30,Curaçao,Côte d'Ivoire,55,E,1,3,0,3112,240,27.775,516.9,489.125,20,0.1585040071237755,0.30078125,0.6083198915850909,0.8178948402960873,0.8695652173913043,0.5,0.5300829684732511,0.3664028603122143
31,Netherlands,Sweden,35,F,0,5,1,3680,242,763.0,435.375,327.625,17,0.6642920747996439,0.3033854166666666,0.8404756013898618,0.7509840830985814,0.7391304347826086,0.8333333333333334,0.1533127824651886,0.8911430660845927
32,Japan,Sweden,57,F,1,3,0,3623,185,266.55,435.375,168.825,23,0.6135351736420303,0.2291666666666666,0.6829682709491536,0.6404854986433983,1.0,0.5,0.027914988064268176,0.575780126751811
33,Sweden,Tunisia,12,F,0,0,0,3355,83,435.375,69.25,366.125,2,0.3748886910062334,0.0963541666666666,0.5858486499698283,0.7695277775907071,0.0869565217391304,0.0,0.33906478937839496,0.44702496053421803
34,Netherlands,Japan,11,F,0,6,1,3865,57,763.0,266.55,496.45,20,0.8290293855743545,0.0625,0.7957537963983132,0.8203779184317552,0.8695652173913043,1.0,0.1392017548747376,0.7987918238664451
35,Tunisia,Japan,36,F,0,6,1,3540,268,69.25,266.55,197.3,4,0.539626001780944,0.3372395833333333,0.4660741869631186,0.6664321740057064,0.1739130434782608,1.0,0.3099964868239778,0.35816233982270146
36,Tunisia,Netherlands,58,F,1,3,0,3597,325,69.25,763.0,693.75,23,0.5903829029385577,0.4114583333333333,0.7331069880890202,0.876293839909196,1.0,0.5,0.49785490511957625,0.6982103295202413
37,IR Iran,New Zealand,15,G,0,1,0,3345,175,35.5,32.8,2.700000000000003,1,0.3659839715048978,0.2161458333333333,0.0,0.0,0.0434782608695652,0.1666666666666666,0.18146092890447632,0.014395589972203637
38,Belgium,IR Iran,39,G,0,6,1,3627,107,558.2,35.5,522.7,19,0.6170970614425646,0.1276041666666666,0.6336816092949431,0.8289854839294886,0.8260869565217391,1.0,0.37187068490028136,0.5731248613585879
39,Egypt,IR Iran,63,G,1,5,1,3449,71,135.425,35.5,99.925,3,0.458593054318789,0.0807291666666666,0.2678490696224915,0.5533802112559301,0.1304347826086956,0.8333333333333334,0.16448438827971704,0.14998579022111214
40,Belgium,Egypt,16,G,0,0,0,3556,178,558.2,135.425,422.775,19,0.5538735529830809,0.2200520833333333,0.6794667491814605,0.7935474779726728,0.8260869565217391,0.0,0.2730097772032261,0.6016767702021588
41,New Zealand,Egypt,40,G,0,0,0,3274,104,32.8,135.425,102.625,1,0.3027604630454141,0.1236979166666666,0.2631828148927695,0.5577993169084661,0.0434782608695652,0.0,0.21609835684917297,0.09944345696100793
42,New Zealand,Belgium,64,G,1,5,1,3452,282,32.8,558.2,525.4000000000001,3,0.4612644701691897,0.35546875,0.6323401899726748,0.82984623771753,0.1304347826086956,0.8333333333333334,0.47129260571389187,0.5532425572024448
43,Spain,Cabo Verde,14,H,0,0,0,3714,616,1271.0,57.075,1213.925,16,0.6945681211041852,0.7903645833333333,0.8707452896471677,0.9698425429132757,0.6956521739130435,0.0,0.6643097367479996,0.7942688708665666
44,Uruguay,Cabo Verde,37,H,0,6,1,3441,343,361.1,57.075,304.02500000000003,22,0.4514692787177203,0.4348958333333333,0.5305737456878843,0.7385100073831354,0.9565217391304348,1.0,0.44830899219199094,0.4063591753427959
45,Saudi Arabia,Uruguay,13,H,0,0,0,3460,324,27.625,361.1,333.475,22,0.4683882457702584,0.41015625,0.5090992265937564,0.7539375559673557,0.9565217391304348,0.0,0.2756438881162537,0.4706831232204908
46,Uruguay,Spain,66,H,1,5,1,4057,273,361.1,1271.0,909.9,0,1.0,0.34375,0.9314708518303176,0.9216350924748656,0.0,0.8333333333333334,0.149122046908212,0.9314788818236222
47,Spain,Saudi Arabia,38,H,0,6,1,3733,597,1271.0,27.625,1243.375,16,0.7114870881567232,0.765625,0.8641398241043265,0.97385157405438,0.6956521739130435,1.0,0.49164463267226244,0.8585928187442615
48,Cabo Verde,Saudi Arabia,65,H,1,5,1,3117,19,57.075,27.625,29.450000000000003,0,0.1629563668744436,0.0130208333333333,0.062615477360747,0.3528049227796813,0.0,0.8333333333333334,0.22042858664494674,0.01375785633008847
49,France,Iraq,42,I,0,0,0,3688,474,1473.0,19.225,1453.775,21,0.6714158504007126,0.60546875,0.9050749199632891,1.0,0.9130434782608696,0.0,1.0,0.7757305095195206
50,Senegal,Iraq,62,I,1,4,0,3485,271,464.3,19.225,445.075,19,0.4906500445235977,0.3411458333333333,0.5732829061201619,0.8021316921905801,0.8260869565217391,0.6666666666666666,0.7483005292603353,0.31904030425358554
51,Iraq,Norway,18,I,0,1,0,3519,305,19.225,586.5,567.275,22,0.520926090828139,0.3854166666666666,0.6395828578879179,0.8426585192106604,0.9565217391304348,0.1666666666666666,0.7461423282382941,0.31058400059072677
52,France,Senegal,17,I,0,1,0,3959,203,1473.0,464.3,1008.7,19,0.91273374888691,0.2526041666666666,0.9819773871207536,0.9388715666101975,0.8260869565217391,0.1666666666666666,0.18214574339547399,0.9963819247673206
53,Norway,Senegal,41,I,0,1,0,3790,34,586.5,464.3,122.2,0,0.7622439893143365,0.0325520833333333,0.8017705367467636,0.5867619065180523,0.0,0.1666666666666666,0.0,0.5772254594944682
54,Norway,France,61,I,1,4,0,3993,169,586.5,1473.0,886.5,19,0.9430097951914512,0.2083333333333333,1.0000000000000002,0.917278981310631,0.8260869565217391,0.6666666666666666,0.18368051715750272,1.0
55,Austria,Jordan,20,J,0,2,0,3517,137,259.7,18.25,241.45,4,0.5191451469278721,0.1666666666666666,0.4105192527438188,0.7000788527189314,0.1739130434782608,0.3333333333333333,0.621476487081323,0.31713151449995963
56,Argentina,Austria,43,J,0,0,0,3940,286,765.5,259.7,505.8,17,0.8958147818343725,0.3606770833333333,0.7945068454061135,0.8234948495131211,0.7391304347826086,0.0,0.09837639952086313,0.7445013724297767
57,Algeria,Austria,69,J,1,6,1,3570,84,227.8,259.7,31.899999999999977,2,0.5663401602849509,0.09765625,0.5756914609470916,0.3657582401847981,0.0869565217391304,1.0,0.07775695673822561,0.45275233409945936
58,Argentina,Algeria,19,J,0,2,0,3856,370,765.5,227.8,537.7,1,0.8210151380231525,0.4700520833333333,0.7851977195089435,0.8337123896216974,0.0434782608695652,0.3333333333333333,0.22750513391374044,0.7066775420621204
59,Jordan,Algeria,44,J,0,1,0,3433,53,18.25,227.8,209.55,3,0.4443455031166521,0.0572916666666666,0.374719566633849,0.6764655474337885,0.1304347826086956,0.1666666666666666,0.5395320244652901,0.16510471070291144
60,Jordan,Argentina,70,J,1,6,1,3803,423,18.25,765.5,747.25,2,0.7738201246660732,0.5390625,0.7154289391317783,0.8887112619634692,0.0869565217391304,1.0,0.7712246642568378,0.5710567224626206
61,Portugal,Congo DR,23,K,0,2,0,3191,777,965.0,147.25,817.75,17,0.2288512911843279,1.0,0.8185088466164767,0.9037828245675874,0.7391304347826086,0.3333333333333333,0.37942606574025106,0.8788684353135019
62,Colombia,Congo DR,48,K,0,2,0,3182,768,303.95,147.25,156.7,2,0.2208370436331255,0.98828125,0.5529293691893082,0.6280866691423349,0.0869565217391304,0.3333333333333333,0.15766652333066378,0.4799796085608707
63,Uzbekistan,Colombia,24,K,0,3,0,3702,248,78.725,303.95,225.225,2,0.6838824577025826,0.3111979166666666,0.5044871017731092,0.6884849037821965,0.0869565217391304,0.5,0.48712578760628766,0.3928972215790383
64,Portugal,Uzbekistan,47,K,0,1,0,3711,257,965.0,78.725,886.275,17,0.6918967052537845,0.3229166666666666,0.7997809218044842,0.9172365404582308,0.7391304347826086,0.1666666666666666,0.7088853300158748,0.7917860483316694
65,Congo DR,Uzbekistan,72,K,1,5,1,2934,520,147.25,78.725,68.525,23,0.0,0.6653645833333333,0.3497359598632297,0.4909975209435296,1.0,0.8333333333333334,0.3313654986628078,0.11910691405766116
66,Colombia,Portugal,71,K,1,5,1,3959,9,303.95,965.0,661.05,23,0.91273374888691,0.0,0.8573307239160186,0.8682240745809595,1.0,0.8333333333333334,0.1522058150653966,0.9385805462540167
67,Panama,Croatia,46,L,0,1,0,3667,193,32.85,356.3,323.45,23,0.6527159394479076,0.2395833333333333,0.5094205223290469,0.7488439330810174,1.0,0.1666666666666666,0.4404345482013521,0.38709163293332716
68,England,Croatia,22,L,0,2,0,3950,90,1315.0,356.3,958.7,20,0.904719501335708,0.10546875,0.9384632055959468,0.9303704829869792,0.8695652173913043,0.3333333333333333,0.14833533206200855,0.9137812523205877
69,Panama,England,67,L,1,5,1,3757,283,32.85,1315.0,1282.15,21,0.7328584149599289,0.3567708333333333,0.8750990744923197,0.9789876956890544,0.9130434782608696,0.8333333333333334,0.6492326327627818,0.7857389432696643
70,Ghana,Panama,21,L,0,2,0,3242,232,295.175,32.85,262.325,23,0.2742653606411398,0.2903645833333333,0.4591892332078682,0.7139037143166312,1.0,0.3333333333333333,0.3094693026011317,0.1675261720020348
71,England,Ghana,45,L,0,1,0,3525,515,1315.0,295.175,1019.825,20,0.5262689225289403,0.6588541666666666,0.9274863911961376,0.9407057421786504,0.8695652173913043,0.1666666666666666,0.3329408791248459,0.8793510376748984
72,Croatia,Ghana,68,L,1,5,1,3435,425,356.3,295.175,61.125,21,0.446126447016919,0.5416666666666666,0.6610131740002101,0.4721604335939746,0.9130434782608696,0.8333333333333334,0.12414279456341612,0.48070372733856126
